client_name,invoice_number,invoice_date,due_date,item_description,item_quantity,item_total_price,tax,discount,total,payment_due_date,bank_name,account_number,payment_method

Peterson-Taylor,21024792,02/23/2013,,Waterfowl Illustrated,"1,00","6,38","0,58",,"6,38",,,GB30XWFZ08377802938801,
Davidson-Martinez,17045625,11/01/2017,,Cell: A Novel by Stephen King,"4,00","19,76","2,82",,"31,06",,,GB43AYYU13392404742725,
Davidson-Martinez,17045625,11/01/2017,,A History of the Indians of the United States (The,"1,00","4,94","2,82",,"31,06",,,GB43AYYU13392404742725,
Davidson-Martinez,17045625,11/01/2017,,Quilts of Illusion,"1,00","6,37","2,82",,"31,06",,,GB43AYYU13392404742725,
Rodriguez-Stevens,61356291,09/06/2012,,Wine Glasses Goblets Pair Clear Glass,"5,00","66,00","19,28",,"212,09",,,GB50ACIE59715038217063,
Rodriguez-Stevens,61356291,09/06/2012,,With Hooks Stemware Storage Multiple Uses Iron Wine Rack Hanging Glass,"4,00","123,55","19,28",,"212,09",,,GB50ACIE59715038217063,
Rodriguez-Stevens,61356291,09/06/2012,,Replacement Corkscrew Parts Spiral Worm Wine Opener Bottle Houdini,"1,00","8,25","19,28",,"212,09",,,GB50ACIE59715038217063,
Rodriguez-Stevens,61356291,09/06/2012,,HOME ESSENTIALS GRADIENT STEMLESS WINE GLASSES SET OF 4 20 FL OZ (591 ml) NEW,"1,00","14,29","19,28",,"212,09",,,GB50ACIE59715038217063,
Mitchell Ltd,53875869,07/12/2012,,Women Elegant Fashion O-Neck Knee Length Short Sleeve Retro Floral Print Dress,"5,00","66,00","6,00",,"66,00",,,GB79TYOE48218218409014324,
Snyder-Johnson,16662010,08/28/2016,,Nintendo Gameboy Pocket Console Green with Box MGB-001 Japan Tested Working,"1,00","71,50","205,37",,"2,259,10",,,GB20BAKH22085364527355,
Snyder-Johnson,16662010,08/28/2016,,New Sony Playstation 4 Slim 1TB 3 Game Bundle Console. Sealed!!!,"3,00","1,319,97","205,37",,"2,259,10",,,GB20BAKH22085364527355,
Snyder-Johnson,16662010,08/28/2016,,Atari Flashback 4 Classic Game Console 75 built in games Space Invaders Asteroid,"4,00","37,40","205,37",,"2,259,10",,,GB20BAKH22085364527355,
Snyder-Johnson,16662010,08/28/2016,,Sony PlayStation 1 PS1 Console model scph-7501,"4,00","65,96","205,37",,"2,259,10",,,GB20BAKH22085364527355,
Snyder-Johnson,16662010,08/28/2016,,"Nintendo Wii Console 2 Remotes w/ Covers, Nunchucks, Sensor Sega Game Bundle","1,00","93,50","205,37",,"2,259,10",,,GB20BAKH22085364527355,
Snyder-Johnson,16662010,08/28/2016,,Sony PlayStation 3 PS3 Super Slim Black Console 20 GB *Tested* Console & Cables,"4,00","439,78","205,37",,"2,259,10",,,GB20BAKH22085364527355,
Snyder-Johnson,16662010,08/28/2016,,Nintendo Gameboy Pocket Console Green with Box MGB-001 Japan Tested Working 55,"3,00","231,00","205,37",,"2,259,10",,,GB20BAKH22085364527355,
Peters-Santiago,71449499,09/09/2015,,PRETTY GOOD JOKE BOOK 2nd ED (Prairie Home Compani,"5,00","24,70","17,55",,"193,02",,,GB74VAXB23959279378333,
Peters-Santiago,71449499,09/09/2015,,Dutch Cooking (The Netherlands Cookbook) by Heleen A. M. Halverhout Book The,"3,00","41,68","17,55",,"193,02",,,GB74VAXB23959279378333,
Peters-Santiago,71449499,09/09/2015,,Our Family Tree A History of Our Family,"1,00","4,94","17,55",,"193,02",,,GB74VAXB23959279378333,
Peters-Santiago,71449499,09/09/2015,,Spectacular Ireland Coffee Table Book - very large,"5,00","55,00","17,55",,"193,02",,,GB74VAXB23959279378333,
Peters-Santiago,71449499,09/09/2015,,The Real World of Jane Austen,"1,00","35,13","17,55",,"193,02",,,GB74VAXB23959279378333,
Peters-Santiago,71449499,09/09/2015,,Collectors Paperweights 86,"5,00","31,57","17,55",,"193,02",,,GB74VAXB23959279378333,
"Rios, Oneill and Rowe",19471831,04/09/2014,,"15""x15"" White Decorative","3,00","1,937,31","4,067,78",,"44,745,59",,,GB05YUTG50853913677557,
"Rios, Oneill and Rowe",19471831,04/09/2014,,Coffee Table Top Lapis Lazuli Marquetery Patio Décor,"2,00","131,04","4,067,78",,"44,745,59",,,GB05YUTG50853913677557,
"Rios, Oneill and Rowe",19471831,04/09/2014,,"4""x2"" Marble Dining Table Top","5,00","1,840,10","4,067,78",,"44,745,59",,,GB05YUTG50853913677557,
"Rios, Oneill and Rowe",19471831,04/09/2014,,Pietra Dura Birds Inlay Art Furniture Decors B444,"5,00","5,908,00","4,067,78",,"44,745,59",,,GB05YUTG50853913677557,
"Rios, Oneill and Rowe",19471831,04/09/2014,,60 Inches Marble Dinning Table Top Hand Inlaid Garden Table with Gemstones,"5,00","5,908,00","4,067,78",,"44,745,59",,,GB05YUTG50853913677557,
Stephenson Inc,77596491,01/31/2021,,Earl Scruggs and the 5-String Banjo: Revised and Enhanced Edition (Paperback or,"1,00","24,95","2,27",,"24,95",,,GB04ZWCK22425880230961,
Smith-Petersen,22083742,03/01/2014,,YILONG 4'x6'' All over Handmade Carpet Dining Room Hand Knotted Silk Rugs 082B,"2,00","7,920,00","720,00",,"7,920,00",,,GB621ACN00896958403438,
Gordon PLC,94786467,11/19/2013,,36 Inches Marble Office Table Top with Multi Gemstones Work Dinning Table Top,"1,00","852,13","770,83",,"8,479,08",,,GB18QZ1H77960348255932,
Gordon PLC,94786467,11/19/2013,,25 Inches Black Marble Center Table Top with Multi Stones Coffee Table for Home,"2,00","608,75","770,83",,"8,479,08",,,GB18QZ1H77960348255932,
Gordon PLC,94786467,11/19/2013,,SOFA SET,"4,00","100,00","770,83",,"8,479,08",,,GB18QZ1H77960348255932,
Gordon PLC,94786467,11/19/2013,,15 Inches Marble Bed Side Table Top Stone Coffee Table with Royal Inlay Work,"4,00","084,60","770,83",,"8,479,08",,,GB18QZ1H77960348255932,
Gordon PLC,94786467,11/19/2013,,"26""x26"" Black Marble Round Top Table Grapes Art Inlay Floral Christmas Gift Deco","2,00","833,60","770,83",,"8,479,08",,,GB18QZ1H77960348255932,
Stephens-Goodman,24342647,05/07/2020,,"15""x15"" White Marble Coffee Table Top With 15"" Tall Stand Semi Precious Art Deco","4,00","534,36","411,30",,"4,524,28",,,GB05CPFN10349037207241,
Stephens-Goodman,24342647,05/07/2020,,"12"" Marble Lapis Inlay Chess Table Top With 2"" Pieces & 15"" Wooden Stand W537","3,00","467,18","411,30",,"4,524,28",,,GB05CPFN10349037207241,
Stephens-Goodman,24342647,05/07/2020,,"18""x18"" White Hand Curved Top Coffee Table Inlay Decorative Gift For Her Wedding","1,00","522,74","411,30",,"4,524,28",,,GB05CPFN10349037207241,
Nelson PLC,80489404,12/21/2013,,New Fully Automatic Red Wine Bottle Opener Electric Red Wine Opener Corkscrew,"1,00","28,59","42,81",,"470,92",,,GB430YPG18782157635961,
Nelson PLC,80489404,12/21/2013,,38/40/42/44mm Silicone Sport iWatch Band Strap for Apple Watch Series 6 5 4 3 SE,"2,00","8,10","42,81",,"470,92",,,GB430YPG18782157635961,
Nelson PLC,80489404,12/21/2013,,Vintage Crystal Red Wine Glasses NOS West Germany 1983 6 10 ounce elegant stems,"4,00","155,98","42,81",,"470,92",,,GB430YPG18782157635961,
Nelson PLC,80489404,12/21/2013,,Anthropologie Gold Elegant Swan Decorative Metal Bottle Stopper Wine Saver,"2,00","43,96","42,81",,"470,92",,,GB430YPG18782157635961,
Nelson PLC,80489404,12/21/2013,,QcoQce Wine Bottle Opener,"4,00","132,00","42,81",,"470,92",,,GB430YPG18782157635961,
Nelson PLC,80489404,12/21/2013,,9.5 Inch Dinosaur Bones Wine Bottle Holder,"2,00","52,80","42,81",,"470,92",,,GB430YPG18782157635961,
Nelson PLC,80489404,12/21/2013,,Wine Rack,"5,00","49,50","42,81",,"470,92",,,GB430YPG18782157635961,
"Kayla,",12459784,08/19/2020,,The Great One: The Complete Wayne Gretzky Collection,"4,00","21,52","14,80",,"162,79",,,GB87QEXA379037903967899333,
"Kayla,",12459784,08/19/2020,,return to virgin river by robyn carr,"4,00","13,16","14,80",,"162,79",,,GB87QEXA379037903967899333,
"Kayla,",12459784,08/19/2020,,Michael Jackson: A Life in Music (Paperback or Softback),"2,00","27,13","14,80",,"162,79",,,GB87QEXA379037903967899333,
"Kayla,",12459784,08/19/2020,,Luke s Fate Star Wars,"3,00","14,82","14,80",,"162,79",,,GB87QEXA379037903967899333,
"Kayla,",12459784,08/19/2020,,Little Women by Louisa May Alcott Illustrated Brand New Collectible Hardcover,"5,00","81,23","14,80",,"162,79",,,GB87QEXA379037903967899333,
"Kayla,",12459784,08/19/2020,,The Blooding by Joseph Wambaugh,"1,00","4,94","14,80",,"162,79",,,GB87QEXA379037903967899333,
Murphy LLC,66389180,07/30/2016,,Hot Toys COSB748 Mandalorian & The Child COSBABY Mini Figure Model Collection,"2,00","72,36","26,54",,"291,92",,,GB781ZMS02094878294026,
Murphy LLC,66389180,07/30/2016,,Jordan B'Loyal Boys Grade School Sneakers US 3Y,"1,00","9,90","26,54",,"291,92",,,GB781ZMS02094878294026,
Murphy LLC,66389180,07/30/2016,,Nike 7y Black,"1,00","16,50","26,54",,"291,92",,,GB781ZMS02094878294026,
Murphy LLC,66389180,07/30/2016,,Joma Youth Boys Gol 205 Piso Multitaco Soccer Cleats 3.5 White Blue Yellow NEW,"4,00","87,96","26,54",,"291,92",,,GB781ZMS02094878294026,
Murphy LLC,66389180,07/30/2016,,Star Wars 100% 925 sterling silver BB8 Darth Vader Charm R2-D2 Fiit Pandora Gift,"3,00","65,60","26,54",,"291,92",,,GB781ZMS02094878294026,
Murphy LLC,66389180,07/30/2016,,Toddler Kids Monster Jam Shoes Size 11c Grave Digger,"4,00","39,60","26,54",,"291,92",,,GB781ZMS02094878294026,
Chapman-Long,54212825,05/01/2015,,Alcoholmeter Alcohol Meter Wine 0-100Xé-Thermometer Set Bar Tools Vintage Tester,"3,00","46,46","50,14",,"551,54",,,GB39WGXJ06397307045703,
Chapman-Long,54212825,05/01/2015,,Vintage Wine Basket Holder Bottles,"2,00","72,58","50,14",,"551,54",,,GB39WGXJ06397307045703,
Chapman-Long,54212825,05/01/2015,,Wagner Vineyards uncork new york Wine Glass,"2,00","8,78","50,14",,"551,54",,,GB39WGXJ06397307045703,
Chapman-Long,54212825,05/01/2015,,Press Wine 15L Fruit Cider Apple Crusher Juice Grape Stainless Maker Grapes New,"1,00","306,90","50,14",,"551,54",,,GB39WGXJ06397307045703,
Chapman-Long,54212825,05/01/2015,,100pcs Heat Shrink Capsules PVC Wine Bottle Caps Shrinkable Seal Film Covers 3cm,"4,00","25,30","50,14",,"551,54",,,GB39WGXJ06397307045703,
Chapman-Long,54212825,05/01/2015,,Cuisinart Stainless Steel Electric Wine Opener - CWO-25 - Brand New in the Box,"4,00","87,56","50,14",,"551,54",,,GB39WGXJ06397307045703,
Chapman-Long,54212825,05/01/2015,,Stainless Steel Reusable Vacuum Sealed Champagne Red Wine Bottle Stopper Cap New,"3,00","3,96","50,14",,"551,54",,,GB39WGXJ06397307045703,
"Thompson, Terry and Johnson",35312696,05/11/2017,,Liza Byrd Dress Sz L- Coral Green Medallion Print Short Sleeve 100% Cotton Line,"2,00","39,58","29,27",,"321,95",,,GB24PPHX39330226937268,
"Thompson, Terry and Johnson",35312696,05/11/2017,,Bcbgeneration Black Sleeveless Lace Back Cut Out Dress Sz 2,"1,00","3,29","29,27",,"321,95",,,GB24PPHX39330226937268,
"Thompson, Terry and Johnson",35312696,05/11/2017,,Tommy Bahama Women's V Neck Linen Floral Dress Size M Beige Short Sleeve Tan,"2,00","76,98","29,27",,"321,95",,,GB24PPHX39330226937268,
"Thompson, Terry and Johnson",35312696,05/11/2017,,Lands End Womens 3/4 Sleeve Dress Plus 3X Navy Blue Floral Cotton Knit 482038,"5,00","116,77","29,27",,"321,95",,,GB24PPHX39330226937268,
"Thompson, Terry and Johnson",35312696,05/11/2017,,Fashion Sexy Backless Tight-fitting Halter Dress Cocktail Party Weeding Elegant,"2,00","19,36","29,27",,"321,95",,,GB24PPHX39330226937268,
"Thompson, Terry and Johnson",35312696,05/11/2017,,Lumiere Large Multicolored Orange Short Dress NWT,"2,00","10,98","29,27",,"321,95",,,GB24PPHX39330226937268,
"Thompson, Terry and Johnson",35312696,05/11/2017,,SCOTT MCCINTOCK SIZE 12 BLACK PARTY DRESS WITH SPARKLIND TOP,"2,00","55,00","29,27",,"321,95",,,GB24PPHX39330226937268,
Liu-Perry,74184749,03/07/2015,,"Stemless wine glass Etched coordinates of Myakka River State Park, Very Good","1,00","3,29","0,30",,"3,29",,,GB691FZX47543651270054,
Lambert-Gomez,29800590,08/10/2012,,"Original xbox console (Works Great, Tested)","2,00","83,60","98,60",,"1,084,56",,,GB84XXYM74021956790771,
Lambert-Gomez,29800590,08/10/2012,,Sega V Saturn Victor Console RG-JX1 Gray Tested Working Japan,"3,00","395,97","98,60",,"1,084,56",,,GB84XXYM74021956790771,
Lambert-Gomez,29800590,08/10/2012,,Nintendo Switch 32GB Neon Red/Neon Blue Console,"1,00","330,00","98,60",,"1,084,56",,,GB84XXYM74021956790771,
Lambert-Gomez,29800590,08/10/2012,,Nintendo Switch Console Tablet Only Unpatched Hackable Low Serial Number,"1,00","274,99","98,60",,"1,084,56",,,GB84XXYM74021956790771,
Mendoza-Scott,36475327,08/23/2020,,Dell Optiplex XE2 SFF Desktop Computer W10 Pro Licensed,"3,00","326,70","509,56",,"5,605,15",,,GB78YNHU63382554245346,
Mendoza-Scott,36475327,08/23/2020,,Custom Build Dell Desktop Computer i5 16GB I 1TB SSD I HDMI Windows 10 PC WiFi,"1,00","108,90","509,56",,"5,605,15",,,GB78YNHU63382554245346,
Mendoza-Scott,36475327,08/23/2020,,custom gaming computer,"4,00","1,980,00","509,56",,"5,605,15",,,GB78YNHU63382554245346,
Mendoza-Scott,36475327,08/23/2020,,Dell Optiplex Windows 10 Pro Desktop Computer PC i5 4th Gen 3.2GHz 8 GB 2 TB HDD,"3,00","494,83","509,56",,"5,605,15",,,GB78YNHU63382554245346,
Mendoza-Scott,36475327,08/23/2020,,"HP Desktop Computers Core i5 16GB 2TB 256GB SSD Wifi 22"" LCD Windows 10 Pro PC","5,00","769,73","509,56",,"5,605,15",,,GB78YNHU63382554245346,
Mendoza-Scott,36475327,08/23/2020,,2 Gaming Computers,"1,00","1,430,00","509,56",,"5,605,15",,,GB78YNHU63382554245346,
